000_018: 0.95719874     000_036: 0.9486515      000_054: 0.9425612      000_072: 0.9597053
000_090: 0.95986855     000_108: 0.9603772      000_126: 0.959817       000_144: 0.9598223
000_162: 0.9599996      000_180: 0.96012706     018_000: 0.9527964      018_036: 0.94388723
018_054: 0.9550281      018_072: 0.9598819      018_090: 0.9594087      018_108: 0.9598741
018_126: 0.9594518      018_144: 0.9589355      018_162: 0.95762354     018_180: 0.9572823
036_000: 0.95518595     036_018: 0.9569158      036_054: 0.919209       036_072: 0.9151693
036_090: 0.9008211      036_108: 0.9239623      036_126: 0.947306       036_144: 0.94793785
036_162: 0.95978        036_180: 0.9563482      054_000: 0.9350649      054_018: 0.9241228
054_036: 0.89290327     054_072: 0.7747866      054_090: 0.7339245      054_108: 0.7578616
054_126: 0.8542465      054_144: 0.90842575     054_162: 0.94451046     054_180: 0.9363055 
072_000: 0.95622504     072_018: 0.9557516      072_036: 0.9570225      072_054: 0.9563088
072_090: 0.94561577     072_108: 0.9365408      072_126: 0.9486301      072_144: 0.9557872
072_162: 0.9586797      072_180: 0.9560934      090_000: 0.96000004     090_018: 0.9590246
090_036: 0.9601655      090_054: 0.95762694     090_072: 0.96500736     090_108: 0.95993716
090_126: 0.95789975     090_144: 0.9599112      090_162: 0.9602639      090_180: 0.9595754
108_000: 0.9593074      108_018: 0.9587729      108_036: 0.9609264      108_054: 0.9625236
108_072: 0.9664213      108_090: 0.9668966      108_126: 0.9617808      108_144: 0.9611972
108_162: 0.96021986     108_180: 0.9597027      126_000: 0.9604153      126_018: 0.95738786
126_036: 0.9586767      126_054: 0.96075314     126_072: 0.9630633      126_090: 0.96440077
126_108: 0.9651573      126_144: 0.96159655     126_162: 0.95999986     126_180: 0.96063685
144_000: 0.93291765     144_018: 0.89350116     144_036: 0.89710504     144_054: 0.9123164  
144_072: 0.90132546     144_090: 0.8809195      144_108: 0.8584906      144_126: 0.8740639
144_162: 0.9067987      144_180: 0.9029723      162_000: 0.9380779      162_018: 0.9273327
162_036: 0.8915467      162_054: 0.8483239      162_072: 0.8435345      162_090: 0.8315272
162_108: 0.81949687     162_126: 0.86977166     162_144: 0.89268285     162_180: 0.94174105
180_000: 0.9435497      180_018: 0.9064357      180_036: 0.8835731      180_054: 0.86809784
180_072: 0.85743743     180_090: 0.85379314     180_108: 0.8427673      180_126: 0.86566204
180_144: 0.9072727      180_162: 0.9537513
Average Accuracy - 93 %
